a,b,mean
7.60E-01,8.29E-01,3.013421757
7.60E-01,8.40E-01,3.042481351
7.60E-01,8.56E-01,3.083224442
7.68E-01,8.59E-01,3.116402991
7.49E-01,8.59E-01,3.059955723
7.49E-01,8.33E-01,2.991738928
7.49E-01,8.33E-01,2.991738928
7.49E-01,8.33E-01,2.991738928
7.49E-01,8.33E-01,2.991738928
7.49E-01,8.33E-01,2.991738928
7.49E-01,8.33E-01,2.991738928
7.49E-01,8.50E-01,3.036858871
7.55E-01,8.55E-01,3.066646017
7.55E-01,8.55E-01,3.066646017
7.55E-01,8.55E-01,3.066646017
7.55E-01,8.60E-01,3.077766107
7.55E-01,8.91E-01,3.163968719
7.49E-01,8.91E-01,3.145927566
7.49E-01,8.91E-01,3.145927566
7.49E-01,8.91E-01,3.145927566
7.49E-01,8.91E-01,3.145927566
7.49E-01,8.91E-01,3.145927566
7.49E-01,8.91E-01,3.145927566
7.49E-01,8.91E-01,3.145927566
7.52E-01,8.91E-01,3.154432969
7.57E-01,8.91E-01,3.172630534
7.57E-01,8.91E-01,3.172630534
7.57E-01,8.91E-01,3.172630534
7.57E-01,8.91E-01,3.172630534
7.57E-01,8.91E-01,3.172630534
7.57E-01,8.91E-01,3.172630534
7.57E-01,8.91E-01,3.172630534
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.63E-01,8.91E-01,3.189983401
7.52E-01,8.91E-01,3.154772553
7.52E-01,8.91E-01,3.154772553
7.58E-01,8.80E-01,3.143686609
7.66E-01,8.80E-01,3.167995075
7.66E-01,8.80E-01,3.167995075
7.47E-01,9.09E-01,3.189721016
7.47E-01,9.11E-01,3.195558903
7.47E-01,9.11E-01,3.195920438
7.47E-01,8.93E-01,3.1436205
7.48E-01,8.93E-01,3.146821114
7.48E-01,8.93E-01,3.146821114
7.48E-01,8.93E-01,3.146821114
7.48E-01,8.49E-01,3.027965792
7.48E-01,8.49E-01,3.027965792
7.48E-01,8.49E-01,3.027965792
7.33E-01,8.22E-01,2.916008068
7.33E-01,8.22E-01,2.916008068
7.33E-01,8.22E-01,2.916008068
7.33E-01,8.22E-01,2.916008068
7.33E-01,8.22E-01,2.916008068
7.33E-01,8.22E-01,2.916008068
7.33E-01,8.49E-01,2.982849814
7.33E-01,8.41E-01,2.962710431
7.42E-01,8.41E-01,2.989747401
7.53E-01,8.41E-01,3.024352096
7.53E-01,8.41E-01,3.024352096
7.53E-01,8.79E-01,3.124003412
7.55E-01,8.79E-01,3.128317462
7.55E-01,8.79E-01,3.128317462
7.66E-01,8.85E-01,3.181795943
7.66E-01,8.85E-01,3.181795943
7.47E-01,8.85E-01,3.120667715
7.47E-01,8.85E-01,3.120667715
7.47E-01,8.85E-01,3.120667715
7.47E-01,8.85E-01,3.120667715
7.47E-01,8.78E-01,3.102498262
7.68E-01,8.78E-01,3.168987945
7.68E-01,8.78E-01,3.168987945
7.68E-01,8.78E-01,3.168987945
7.68E-01,8.78E-01,3.168987945
7.68E-01,8.78E-01,3.168987945
7.68E-01,8.67E-01,3.138255404
7.68E-01,8.67E-01,3.138255404
7.68E-01,8.67E-01,3.138255404
7.68E-01,8.67E-01,3.138255404
7.65E-01,8.67E-01,3.12818152
7.65E-01,8.67E-01,3.12818152
7.65E-01,8.67E-01,3.12818152
7.65E-01,9.04E-01,3.232732861
7.65E-01,8.96E-01,3.209150992
7.61E-01,8.96E-01,3.196498899
7.61E-01,8.74E-01,3.13518268
7.61E-01,8.74E-01,3.13518268
7.61E-01,8.80E-01,3.152800089
7.61E-01,8.52E-01,3.076203381
7.61E-01,8.52E-01,3.076203381
7.61E-01,8.61E-01,3.099668988
7.61E-01,8.61E-01,3.099668988
7.61E-01,8.58E-01,3.093314212
7.61E-01,8.58E-01,3.093314212
7.61E-01,8.58E-01,3.093314212
7.61E-01,8.78E-01,3.14666188
7.61E-01,8.78E-01,3.14666188
7.58E-01,8.96E-01,3.188749564
7.78E-01,8.96E-01,3.252773138
7.79E-01,8.96E-01,3.258357291
7.79E-01,8.96E-01,3.258357291
7.79E-01,8.96E-01,3.258357291
7.79E-01,8.96E-01,3.258357291
7.60E-01,8.96E-01,3.196241496
7.60E-01,8.96E-01,3.196241496
7.70E-01,8.96E-01,3.227100938
7.70E-01,8.96E-01,3.227100938
7.66E-01,8.96E-01,3.213324287
7.87E-01,8.96E-01,3.282353416
7.88E-01,8.96E-01,3.287078719
7.88E-01,8.45E-01,3.143366489
7.88E-01,8.44E-01,3.139725907
7.88E-01,8.44E-01,3.139725907
7.88E-01,8.44E-01,3.139725907
7.88E-01,8.44E-01,3.139725907
7.88E-01,8.44E-01,3.140734759
7.84E-01,8.47E-01,3.136421154
7.84E-01,8.47E-01,3.136421154
7.95E-01,8.41E-01,3.153251713
7.95E-01,8.41E-01,3.153251713
7.99E-01,8.59E-01,3.215624305
7.99E-01,8.59E-01,3.215624305
7.99E-01,8.59E-01,3.215624305
7.87E-01,8.63E-01,3.187725159
7.87E-01,8.63E-01,3.187725159
7.71E-01,8.08E-01,2.996261386
7.65E-01,8.08E-01,2.979432225
7.62E-01,8.08E-01,2.969199093
7.62E-01,8.08E-01,2.969199093
7.91E-01,8.08E-01,3.055988236
7.91E-01,8.49E-01,3.161656086
7.90E-01,8.49E-01,3.159994175
7.90E-01,8.49E-01,3.159994175
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.12E-01,3.025547551
7.78E-01,8.26E-01,3.061067219
7.78E-01,8.26E-01,3.061067219
7.78E-01,8.26E-01,3.061067219
7.54E-01,8.26E-01,2.990996629
7.67E-01,7.74E-01,2.90470629
7.67E-01,7.74E-01,2.90470629
7.67E-01,7.74E-01,2.90470629
7.67E-01,7.74E-01,2.90470629
7.67E-01,7.74E-01,2.90470629
7.67E-01,8.04E-01,2.974483551
7.67E-01,8.04E-01,2.974483551
7.72E-01,8.04E-01,2.990420119
7.72E-01,8.04E-01,2.990933914
7.72E-01,8.04E-01,2.990933914
7.72E-01,8.18E-01,3.02488559
7.72E-01,8.20E-01,3.02910359
7.72E-01,8.20E-01,3.02910359
7.72E-01,8.19E-01,3.027245312
7.64E-01,8.19E-01,3.00380581
7.63E-01,8.19E-01,3.000127948
7.63E-01,8.38E-01,3.048125225
7.56E-01,8.38E-01,3.02545818
7.56E-01,8.46E-01,3.045241962
7.56E-01,8.46E-01,3.045241962
7.56E-01,8.46E-01,3.045241962
7.73E-01,8.46E-01,3.09771746
7.73E-01,8.46E-01,3.09771746
7.44E-01,8.39E-01,2.993685165
7.44E-01,8.21E-01,2.946004158
7.42E-01,8.21E-01,2.939581609
7.52E-01,8.21E-01,2.970362664
7.43E-01,8.14E-01,2.927758692
7.43E-01,8.14E-01,2.927758692
7.43E-01,8.32E-01,2.971282518
7.46E-01,7.99E-01,2.89963329
7.46E-01,7.92E-01,2.885051352
7.46E-01,7.92E-01,2.885051352
7.46E-01,7.92E-01,2.885051352
7.46E-01,8.02E-01,2.906879993
7.56E-01,8.02E-01,2.93647996
7.56E-01,7.78E-01,2.881919993
7.56E-01,8.40E-01,3.031677281
7.56E-01,8.33E-01,3.013984781
7.56E-01,8.33E-01,3.013984781
7.78E-01,8.33E-01,3.081672804
7.78E-01,8.33E-01,3.081672804
7.78E-01,8.33E-01,3.081672804
7.59E-01,8.33E-01,3.0241359
7.59E-01,8.45E-01,3.054372339
7.59E-01,8.45E-01,3.054372339
7.52E-01,8.45E-01,3.032558665
7.58E-01,8.32E-01,3.016027102
7.58E-01,8.32E-01,3.016027102
7.58E-01,8.32E-01,3.016027102
7.65E-01,8.32E-01,3.037844616
7.65E-01,8.63E-01,3.11872332
7.65E-01,8.63E-01,3.118239952
7.70E-01,8.63E-01,3.133814886
7.70E-01,8.89E-01,3.207348453
7.71E-01,9.07E-01,3.260097301
7.71E-01,9.07E-01,3.260097301
7.71E-01,9.07E-01,3.260097301
7.69E-01,9.11E-01,3.26569887
7.69E-01,8.88E-01,3.199169376
7.55E-01,8.88E-01,3.157089359
7.54E-01,8.88E-01,3.152348474
7.54E-01,8.88E-01,3.151496777
7.54E-01,8.88E-01,3.151496777
7.46E-01,8.88E-01,3.128913104
7.46E-01,8.88E-01,3.128913104
7.46E-01,8.88E-01,3.128913104
7.46E-01,8.88E-01,3.128913104
7.46E-01,8.88E-01,3.128913104
7.46E-01,8.88E-01,3.128913104
7.46E-01,8.88E-01,3.128913104
7.45E-01,8.88E-01,3.125415934
7.55E-01,8.76E-01,3.120772151
7.55E-01,8.76E-01,3.120772151
7.61E-01,8.76E-01,3.138891639
7.64E-01,8.76E-01,3.150731142
7.64E-01,8.76E-01,3.150731142
7.81E-01,8.76E-01,3.203645434
8.11E-01,8.76E-01,3.300203917
8.11E-01,8.76E-01,3.300203917
8.11E-01,8.76E-01,3.300203917
8.11E-01,8.76E-01,3.300397493
7.81E-01,8.76E-01,3.204890981
7.81E-01,8.76E-01,3.204890981
7.81E-01,8.76E-01,3.204890981
7.77E-01,8.76E-01,3.192460734
7.84E-01,8.76E-01,3.211895938
7.84E-01,8.76E-01,3.211895938
7.84E-01,8.76E-01,3.211895938
7.72E-01,8.76E-01,3.174323033
7.72E-01,8.76E-01,3.174323033
7.72E-01,8.76E-01,3.174323033
7.72E-01,8.76E-01,3.174323033
7.72E-01,8.76E-01,3.174323033
7.72E-01,8.76E-01,3.174323033
7.72E-01,8.76E-01,3.174323033
7.81E-01,8.76E-01,3.20490298
7.94E-01,8.75E-01,3.24507444
7.94E-01,8.75E-01,3.24507444
7.94E-01,8.75E-01,3.24507444
7.94E-01,8.75E-01,3.24507444
7.94E-01,8.69E-01,3.230011776
7.94E-01,8.69E-01,3.230011776
7.94E-01,8.69E-01,3.230011776
7.91E-01,8.69E-01,3.220366433
7.91E-01,8.69E-01,3.220366433
7.91E-01,8.69E-01,3.220366433
7.91E-01,8.63E-01,3.202215975
7.91E-01,8.63E-01,3.202215975
7.91E-01,8.63E-01,3.202215975
7.91E-01,8.63E-01,3.202215975
7.91E-01,8.63E-01,3.202215975
7.91E-01,8.63E-01,3.202215975
7.73E-01,8.80E-01,3.191778901
7.64E-01,8.73E-01,3.140727834
7.68E-01,8.73E-01,3.153156414
7.68E-01,8.73E-01,3.153156414
7.68E-01,8.71E-01,3.148491187
7.72E-01,8.71E-01,3.162993252
7.74E-01,8.71E-01,3.168336912
7.74E-01,8.71E-01,3.168336912
7.74E-01,8.71E-01,3.168336912
7.74E-01,8.71E-01,3.168336912
7.80E-01,8.71E-01,3.187794301
7.80E-01,8.71E-01,3.187794301
7.80E-01,8.71E-01,3.187794301
7.80E-01,8.71E-01,3.187794301
7.80E-01,8.83E-01,3.221847722
8.06E-01,8.83E-01,3.307852178
8.06E-01,8.83E-01,3.307852178
8.06E-01,8.83E-01,3.307852178
8.06E-01,8.83E-01,3.307852178
8.06E-01,8.83E-01,3.307852178
8.06E-01,8.81E-01,3.301792921
7.96E-01,8.58E-01,3.203342703
7.94E-01,8.58E-01,3.198419556
7.94E-01,8.58E-01,3.198419556
7.94E-01,8.58E-01,3.198419556
7.94E-01,8.58E-01,3.198419556
7.94E-01,8.58E-01,3.198419556
7.94E-01,8.58E-01,3.198419556
7.94E-01,8.60E-01,3.202453909
7.94E-01,8.60E-01,3.202453909
7.97E-01,8.71E-01,3.240598829
7.91E-01,8.80E-01,3.246562997
7.91E-01,8.80E-01,3.246562997
7.91E-01,8.80E-01,3.246562997
7.91E-01,8.75E-01,3.23486155
7.92E-01,8.39E-01,3.138970854
7.92E-01,8.52E-01,3.17496718
7.92E-01,8.52E-01,3.175019291
7.92E-01,8.37E-01,3.135092488
7.92E-01,8.37E-01,3.135092488
7.92E-01,8.37E-01,3.135092488
7.92E-01,8.37E-01,3.135092488
7.92E-01,8.37E-01,3.135092488
7.92E-01,8.23E-01,3.097803497
7.66E-01,8.20E-01,3.012255177
7.93E-01,8.28E-01,3.114314626
7.93E-01,8.28E-01,3.114314626
7.70E-01,8.09E-01,2.997368048
7.70E-01,8.19E-01,3.021350715
7.75E-01,8.19E-01,3.036189982
7.75E-01,8.19E-01,3.036189982
7.75E-01,8.19E-01,3.037059383
7.75E-01,8.19E-01,3.037059383
7.75E-01,8.19E-01,3.037059383
7.75E-01,8.19E-01,3.037059383
7.75E-01,8.30E-01,3.064094374
7.75E-01,8.30E-01,3.064094374
7.75E-01,8.30E-01,3.064094374
7.75E-01,8.30E-01,3.064094374
7.75E-01,8.30E-01,3.064094374
7.75E-01,8.30E-01,3.064094374
7.78E-01,8.30E-01,3.071978447
7.78E-01,8.30E-01,3.071978447
7.60E-01,8.30E-01,3.01780859
7.60E-01,8.43E-01,3.051038867
7.37E-01,8.43E-01,2.980438245
7.37E-01,8.43E-01,2.980438245
7.37E-01,8.43E-01,2.980438245
7.37E-01,7.96E-01,2.868208094
7.37E-01,7.96E-01,2.868208094
7.37E-01,7.96E-01,2.868208094
7.37E-01,7.96E-01,2.868208094
7.37E-01,7.96E-01,2.868208094
7.37E-01,7.96E-01,2.868208094
7.37E-01,8.36E-01,2.963978029
7.37E-01,8.36E-01,2.963978029
7.41E-01,8.36E-01,2.975448469
7.41E-01,8.36E-01,2.975448469
7.41E-01,8.36E-01,2.975448469
7.41E-01,8.51E-01,3.011518543
7.41E-01,8.51E-01,3.011518543
7.41E-01,8.51E-01,3.011324568
7.41E-01,8.51E-01,3.011324568
7.41E-01,8.51E-01,3.01311633
7.40E-01,8.51E-01,3.011181079
7.40E-01,8.64E-01,3.046215416
7.32E-01,8.56E-01,2.998566791
7.34E-01,8.45E-01,2.975652871
7.34E-01,8.45E-01,2.975281077
7.34E-01,8.37E-01,2.957173296
7.34E-01,8.37E-01,2.957173296
7.34E-01,8.55E-01,3.001846931
7.34E-01,8.21E-01,2.91697026
7.34E-01,8.21E-01,2.91697026
7.34E-01,8.33E-01,2.945414594
7.34E-01,8.31E-01,2.941706654
7.34E-01,8.31E-01,2.941706654
7.30E-01,8.31E-01,2.932609261
7.33E-01,8.49E-01,2.984413034
7.35E-01,8.73E-01,3.053652616
7.35E-01,8.61E-01,3.021542401
7.35E-01,8.61E-01,3.021542401
7.35E-01,8.91E-01,3.10075846
7.53E-01,8.92E-01,3.162215563
7.53E-01,8.92E-01,3.162215563
7.53E-01,9.41E-01,3.306516419
7.53E-01,9.13E-01,3.22335807
7.53E-01,9.13E-01,3.22335807
7.53E-01,9.13E-01,3.22335807
7.53E-01,9.13E-01,3.22335807
7.53E-01,9.13E-01,3.22335807
7.53E-01,9.13E-01,3.22335807
7.53E-01,8.82E-01,3.1323932
7.53E-01,8.82E-01,3.1323932
7.53E-01,8.82E-01,3.1323932
7.53E-01,8.82E-01,3.1323932
7.53E-01,8.82E-01,3.1323932
7.49E-01,8.82E-01,3.119748028
7.49E-01,8.82E-01,3.119748028
7.49E-01,8.82E-01,3.119748028
7.49E-01,8.82E-01,3.119748028
7.49E-01,8.82E-01,3.119748028
7.49E-01,8.82E-01,3.119748028
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.69E-01,3.086755472
7.49E-01,8.65E-01,3.073956176
7.49E-01,8.65E-01,3.073956176
7.49E-01,8.65E-01,3.073956176
7.49E-01,8.65E-01,3.073956176
7.49E-01,8.82E-01,3.120954574
7.49E-01,8.74E-01,3.098080959
7.49E-01,8.74E-01,3.098080959
7.49E-01,8.74E-01,3.098080959
7.49E-01,8.74E-01,3.098080959
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.74E-01,3.09843244
7.49E-01,8.79E-01,3.112146883
7.49E-01,8.79E-01,3.112146883
7.49E-01,8.74E-01,3.09997974
7.43E-01,8.72E-01,3.073748199
7.43E-01,8.72E-01,3.073748199
7.43E-01,8.72E-01,3.073748199
7.39E-01,8.72E-01,3.063599042
7.39E-01,8.72E-01,3.063599042
7.38E-01,8.72E-01,3.058507783
7.38E-01,8.72E-01,3.058507783
7.50E-01,8.72E-01,3.09601582
7.50E-01,8.72E-01,3.09601582
7.51E-01,8.49E-01,3.039874538
7.51E-01,8.49E-01,3.039874538
7.51E-01,8.49E-01,3.039874538
7.51E-01,8.83E-01,3.129828778
7.51E-01,8.83E-01,3.129828778
7.51E-01,8.83E-01,3.129828778
7.56E-01,8.83E-01,3.143204659
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.56E-01,8.73E-01,3.116679689
7.53E-01,8.73E-01,3.109371995
7.53E-01,8.73E-01,3.109371995
7.53E-01,8.73E-01,3.109371995
7.53E-01,8.73E-01,3.109371995
7.53E-01,8.73E-01,3.109371995
7.53E-01,8.68E-01,3.096329761
7.53E-01,8.68E-01,3.096329761
7.76E-01,8.68E-01,3.168725391
7.76E-01,8.68E-01,3.168725391
7.76E-01,8.68E-01,3.168725391
7.75E-01,8.91E-01,3.22838926
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.82E-01,8.91E-01,3.250197627
7.69E-01,9.12E-01,3.270914818
7.69E-01,9.12E-01,3.270914818
7.57E-01,8.93E-01,3.17557173
7.57E-01,8.93E-01,3.17557173
7.57E-01,8.93E-01,3.17557173
7.57E-01,8.93E-01,3.17557173
7.32E-01,9.14E-01,3.156999633
7.16E-01,9.14E-01,3.105687278
7.16E-01,8.80E-01,3.012827999
7.16E-01,8.80E-01,3.012827999
7.16E-01,8.80E-01,3.012827999
7.16E-01,8.80E-01,3.012827999
7.29E-01,8.89E-01,3.077466137
7.29E-01,8.89E-01,3.077466137
7.17E-01,8.48E-01,2.935114466
7.17E-01,8.48E-01,2.935114466
7.38E-01,8.48E-01,2.99715546
7.38E-01,8.48E-01,2.99715546
7.38E-01,8.48E-01,2.99715546
7.38E-01,8.48E-01,2.99715546
7.19E-01,8.20E-01,2.871810872
7.19E-01,8.04E-01,2.835325713
7.19E-01,8.31E-01,2.896556891
7.19E-01,8.31E-01,2.896556891
7.19E-01,8.31E-01,2.896556891
7.19E-01,8.31E-01,2.896556891
7.19E-01,8.05E-01,2.835412715
7.40E-01,8.05E-01,2.896629777
7.40E-01,8.02E-01,2.890541022
7.39E-01,8.02E-01,2.886524867
7.39E-01,8.02E-01,2.886524867
7.39E-01,8.02E-01,2.886524867
7.39E-01,7.93E-01,2.865931579
7.39E-01,7.93E-01,2.865931579
7.39E-01,7.93E-01,2.865931579
7.39E-01,7.93E-01,2.865931579
7.39E-01,7.93E-01,2.865931579
7.39E-01,8.56E-01,3.019978387
7.54E-01,8.56E-01,3.067869533
7.48E-01,8.32E-01,2.986545249
7.48E-01,8.32E-01,2.986545249
7.48E-01,8.32E-01,2.986545249
7.48E-01,8.32E-01,2.986545249
7.48E-01,8.35E-01,2.994696183
7.48E-01,8.35E-01,2.994696183
7.45E-01,8.35E-01,2.986116609
7.49E-01,8.35E-01,2.997271291
7.36E-01,8.20E-01,2.921502072
7.44E-01,8.60E-01,3.044239835
7.44E-01,8.60E-01,3.043443837
7.62E-01,8.60E-01,3.100278582
7.62E-01,8.60E-01,3.100278582
7.62E-01,8.26E-01,3.014240655
7.43E-01,8.26E-01,2.958209952
7.43E-01,8.26E-01,2.958209952
7.59E-01,8.26E-01,3.006438217
7.59E-01,8.26E-01,3.006438217
7.59E-01,8.26E-01,3.006438217
7.59E-01,8.74E-01,3.130520911
7.85E-01,8.96E-01,3.275524953
8.13E-01,9.01E-01,3.383630793
8.07E-01,9.01E-01,3.36483429
8.07E-01,9.01E-01,3.36483429
8.24E-01,9.01E-01,3.420006904
8.15E-01,8.76E-01,3.313396818
8.12E-01,8.76E-01,3.304907531
7.98E-01,8.71E-01,3.242760892
7.75E-01,8.71E-01,3.171055787
7.93E-01,8.58E-01,3.192550672
7.93E-01,8.58E-01,3.192550672
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
8.00E-01,8.58E-01,3.215589805
7.98E-01,8.58E-01,3.208446623
7.98E-01,8.58E-01,3.208446623
7.92E-01,8.39E-01,3.139104654
7.99E-01,8.39E-01,3.160985371
7.99E-01,8.86E-01,3.29138333
7.99E-01,8.87E-01,3.294125522
7.99E-01,8.46E-01,3.179814111
7.99E-01,8.46E-01,3.179814111
7.99E-01,8.35E-01,3.151462811
8.13E-01,8.35E-01,3.194414307
8.13E-01,8.30E-01,3.181454937
8.13E-01,8.32E-01,3.185986357
8.13E-01,8.32E-01,3.185986357
8.13E-01,8.04E-01,3.112581177
8.00E-01,8.15E-01,3.102427043
8.23E-01,8.30E-01,3.213340421
8.23E-01,8.38E-01,3.234895622
8.27E-01,8.38E-01,3.250181215
8.29E-01,8.74E-01,3.357060029
8.29E-01,8.74E-01,3.357060029
8.29E-01,8.74E-01,3.357060029
7.99E-01,8.82E-01,3.27943031
8.01E-01,8.82E-01,3.284874382
8.01E-01,8.82E-01,3.284874382
8.00E-01,8.82E-01,3.28270122
7.78E-01,9.27E-01,3.345224814
8.04E-01,9.18E-01,3.405078827
8.00E-01,8.76E-01,3.265050495
7.96E-01,8.76E-01,3.252380319
7.94E-01,8.50E-01,3.175017614
7.94E-01,8.23E-01,3.104042064
8.00E-01,8.31E-01,3.143754653
8.00E-01,8.31E-01,3.143754653
8.00E-01,8.31E-01,3.143754653
8.00E-01,8.31E-01,3.143754653
8.00E-01,8.31E-01,3.143754653
8.00E-01,8.31E-01,3.143754653
8.00E-01,8.31E-01,3.143754653
7.84E-01,8.44E-01,3.129002634
7.84E-01,8.44E-01,3.129002634
7.84E-01,8.44E-01,3.129002634
7.78E-01,8.19E-01,3.043684813
7.79E-01,8.19E-01,3.045651127
7.79E-01,8.19E-01,3.045651127
7.79E-01,8.19E-01,3.045651127
7.79E-01,8.44E-01,3.110201979
7.79E-01,8.44E-01,3.110201979
7.78E-01,8.29E-01,3.071689789
7.88E-01,8.86E-01,3.257135365
8.04E-01,8.86E-01,3.307253077
8.17E-01,8.86E-01,3.350999394
8.23E-01,8.83E-01,3.361341748
8.07E-01,8.83E-01,3.31097659
8.18E-01,8.96E-01,3.384776996
8.18E-01,8.46E-01,3.240116692
8.15E-01,8.19E-01,3.160936598
8.15E-01,8.19E-01,3.160936598
8.00E-01,8.01E-01,3.065601561
8.00E-01,8.02E-01,3.069546675
8.00E-01,8.05E-01,3.074687792
8.14E-01,8.15E-01,3.147272592
8.21E-01,8.14E-01,3.165840118
8.22E-01,8.14E-01,3.169449507
8.20E-01,8.14E-01,3.163913054
8.19E-01,8.14E-01,3.158136946
8.19E-01,8.14E-01,3.158136946
8.25E-01,8.14E-01,3.179227366
8.25E-01,8.66E-01,3.321460503
8.39E-01,8.66E-01,3.366767798
8.25E-01,8.66E-01,3.318845458
8.21E-01,8.66E-01,3.307142941
8.48E-01,8.86E-01,3.458165831
8.44E-01,8.45E-01,3.325354502
8.44E-01,8.45E-01,3.325354502
8.39E-01,8.45E-01,3.309373665
8.39E-01,8.45E-01,3.309373665
8.39E-01,8.45E-01,3.309373665
8.11E-01,8.21E-01,3.151287861
8.11E-01,8.21E-01,3.151287861
8.22E-01,8.52E-01,3.269850971
8.22E-01,8.52E-01,3.269850971
8.22E-01,8.86E-01,3.370621791
8.22E-01,8.86E-01,3.370621791
8.22E-01,8.86E-01,3.370621791
8.22E-01,8.70E-01,3.322848514
8.22E-01,8.70E-01,3.322848514
8.28E-01,8.70E-01,3.341071431
8.42E-01,8.70E-01,3.389622568
8.42E-01,8.70E-01,3.389622568
8.42E-01,8.70E-01,3.389622568
8.42E-01,8.58E-01,3.355389085
8.48E-01,8.58E-01,3.376417744
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.58E-01,3.380168845
8.49E-01,8.62E-01,3.390092689
8.49E-01,8.62E-01,3.390092689
8.49E-01,8.52E-01,3.361798043
8.49E-01,8.52E-01,3.361798043
8.52E-01,8.52E-01,3.369943274
8.52E-01,8.52E-01,3.369943274
8.52E-01,8.52E-01,3.369943274
8.52E-01,8.72E-01,3.427722094
8.41E-01,8.72E-01,3.391433709
8.41E-01,8.64E-01,3.369938276
8.41E-01,8.64E-01,3.369938276
8.41E-01,8.64E-01,3.369938276
8.41E-01,8.64E-01,3.369938276
8.41E-01,8.64E-01,3.369938276
8.41E-01,8.64E-01,3.369938276
8.41E-01,8.58E-01,3.351094584
8.41E-01,8.58E-01,3.351094584
8.44E-01,8.58E-01,3.359030552
8.44E-01,8.58E-01,3.359030552
8.42E-01,8.69E-01,3.386347262
8.42E-01,8.76E-01,3.407274954
8.51E-01,8.76E-01,3.437210032
8.51E-01,8.76E-01,3.437210032
8.51E-01,8.76E-01,3.437210032
8.51E-01,8.76E-01,3.437210032
8.51E-01,8.49E-01,3.356884272
8.51E-01,8.49E-01,3.356884272
8.51E-01,8.59E-01,3.384860416
8.51E-01,8.51E-01,3.362104774
8.51E-01,8.55E-01,3.374366082
8.51E-01,8.55E-01,3.374366082
8.51E-01,8.55E-01,3.374366082
8.60E-01,8.55E-01,3.405667785
8.60E-01,8.55E-01,3.405667785
8.60E-01,8.55E-01,3.405667785
8.62E-01,8.55E-01,3.413323979
8.62E-01,8.55E-01,3.413323979
8.50E-01,8.55E-01,3.372154597
8.50E-01,8.55E-01,3.372154597
8.54E-01,8.55E-01,3.386497354
8.48E-01,9.18E-01,3.557246742
8.21E-01,9.18E-01,3.464167411
8.47E-01,8.56E-01,3.36631512
8.28E-01,8.56E-01,3.301771518
8.01E-01,8.56E-01,3.214901045
8.01E-01,8.56E-01,3.214901045
7.93E-01,8.56E-01,3.188933456
7.93E-01,8.56E-01,3.188933456
7.93E-01,8.53E-01,3.180368362
7.93E-01,8.53E-01,3.180368362
7.93E-01,8.40E-01,3.146692112
8.05E-01,8.83E-01,3.303853307
8.05E-01,8.85E-01,3.308736448
8.05E-01,8.85E-01,3.308736448
8.09E-01,8.64E-01,3.261971729
