a,b,mean
2.60E+00,3.92E+00,29160.01962
2.61E+00,3.92E+00,29391.09625
2.63E+00,3.95E+00,33548.96003
2.64E+00,3.95E+00,33760.76554
2.64E+00,3.95E+00,33760.76554
2.64E+00,3.95E+00,33760.76554
2.65E+00,3.95E+00,34271.62476
2.65E+00,3.95E+00,34271.62476
2.65E+00,3.95E+00,34271.62476
2.67E+00,3.95E+00,34744.9996
2.69E+00,3.95E+00,35868.47852
2.71E+00,3.98E+00,41301.40277
2.74E+00,3.98E+00,42583.70868
2.75E+00,3.98E+00,43086.7935
2.75E+00,3.98E+00,43879.36717
2.77E+00,3.98E+00,44512.26474
2.78E+00,4.04E+00,56117.60329
2.79E+00,4.04E+00,56745.79163
2.81E+00,4.04E+00,58297.31383
2.83E+00,4.04E+00,59408.71052
2.86E+00,4.06E+00,67395.55732
2.86E+00,4.06E+00,67395.55732
2.86E+00,4.06E+00,67395.55732
2.86E+00,4.06E+00,67395.55732
2.86E+00,4.06E+00,67395.55732
2.86E+00,4.07E+00,69558.83423
2.88E+00,4.10E+00,79951.96399
2.88E+00,4.12E+00,86621.99273
2.88E+00,4.12E+00,86621.99273
2.88E+00,4.12E+00,86621.99273
2.91E+00,4.13E+00,93292.59829
2.92E+00,4.17E+00,110358.1155
2.93E+00,4.17E+00,111507.4765
2.93E+00,4.17E+00,111507.4765
2.93E+00,4.17E+00,111507.4765
2.93E+00,4.17E+00,111430.4122
2.93E+00,4.17E+00,111620.4537
2.93E+00,4.17E+00,111555.7222
2.94E+00,4.17E+00,111932.2925
2.94E+00,4.18E+00,119446.8266
2.94E+00,4.23E+00,144455.6751
2.96E+00,4.27E+00,175872.2509
2.96E+00,4.27E+00,175872.2509
2.96E+00,4.31E+00,209839.0071
2.96E+00,4.34E+00,237820.1882
2.99E+00,4.39E+00,310966.1776
3.00E+00,4.39E+00,314174.0816
3.00E+00,4.42E+00,353429.2439
3.01E+00,4.44E+00,390921.3399
3.04E+00,4.48E+00,485306.671
3.04E+00,4.50E+00,527502.2013
3.04E+00,4.53E+00,594335.5739
3.05E+00,4.53E+00,603132.7484
3.07E+00,4.53E+00,612588.0328
3.08E+00,4.56E+00,724981.847
3.08E+00,4.58E+00,800467.8184
3.09E+00,4.59E+00,823925.7839
3.10E+00,4.59E+00,831318.2034
3.10E+00,4.61E+00,901501.633
3.10E+00,4.61E+00,913425.8361
3.12E+00,4.61E+00,936562.1052
3.12E+00,4.61E+00,936562.1052
3.13E+00,4.61E+00,933201.1472
3.13E+00,4.61E+00,934388.1028
3.14E+00,4.61E+00,942726.7929
3.14E+00,4.61E+00,942726.7929
3.15E+00,4.62E+00,1019574.242
3.18E+00,4.62E+00,1048855.217
3.18E+00,4.68E+00,1366395.462
3.21E+00,4.68E+00,1410124.267
3.24E+00,4.69E+00,1554159.291
3.24E+00,4.69E+00,1554159.291
3.25E+00,4.69E+00,1570598.459
3.27E+00,4.72E+00,1799603.476
3.27E+00,4.72E+00,1799603.476
3.27E+00,4.77E+00,2315038.989
3.27E+00,4.79E+00,2491189.635
3.27E+00,4.79E+00,2491189.635
3.28E+00,4.82E+00,2939267.226
3.30E+00,4.82E+00,2995440.794
3.31E+00,4.82E+00,3019285.117
3.31E+00,4.82E+00,3019285.117
3.31E+00,4.84E+00,3342603.11
3.31E+00,4.84E+00,3342603.11
3.31E+00,4.85E+00,3489095.805
3.32E+00,4.88E+00,4105668.9
3.32E+00,4.90E+00,4529676.812
3.34E+00,4.90E+00,4622517.976
3.34E+00,4.95E+00,5833481.417
3.36E+00,4.95E+00,5926673.342
3.36E+00,4.97E+00,6653541.432
3.36E+00,5.00E+00,7766205.688
3.37E+00,5.03E+00,8931251.835
3.38E+00,5.08E+00,12035030.42
3.38E+00,5.12E+00,14780285.41
3.37E+00,5.12E+00,14734545.87
3.40E+00,5.17E+00,19419316.65
3.40E+00,5.17E+00,19437454.99
3.40E+00,5.17E+00,19437454.99
3.40E+00,5.17E+00,19437454.99
3.40E+00,5.17E+00,19437454.99
3.40E+00,5.17E+00,19437454.99
3.40E+00,5.19E+00,20823489.26
3.40E+00,5.19E+00,20823489.26
3.43E+00,5.21E+00,23910501.17
3.43E+00,5.21E+00,23910501.17
3.43E+00,5.21E+00,23910501.17
3.43E+00,5.21E+00,23991627.18
3.46E+00,5.21E+00,24750698.53
3.46E+00,5.21E+00,24750698.53
3.46E+00,5.22E+00,26038998.04
3.46E+00,5.28E+00,35570977.05
3.46E+00,5.31E+00,43083526.02
3.46E+00,5.31E+00,43083526.02
3.47E+00,5.32E+00,44627970.68
3.50E+00,5.36E+00,56000464.38
3.50E+00,5.36E+00,56000464.38
3.50E+00,5.36E+00,56000464.38
3.50E+00,5.36E+00,55949348.66
3.51E+00,5.36E+00,56606346.8
3.53E+00,5.39E+00,67781607.38
3.53E+00,5.38E+00,67425399.59
3.53E+00,5.41E+00,79230754.73
3.53E+00,5.47E+00,108635117
3.53E+00,5.47E+00,108635117
3.53E+00,5.50E+00,129591293.8
3.56E+00,5.50E+00,133707901.9
3.56E+00,5.50E+00,133312089.2
3.56E+00,5.51E+00,141782099.2
3.59E+00,5.51E+00,145593122.1
3.62E+00,5.51E+00,149505001.4
3.62E+00,5.51E+00,149505001.4
3.62E+00,5.52E+00,153932595
3.62E+00,5.53E+00,166897635.3
3.62E+00,5.54E+00,176047527.7
3.63E+00,5.55E+00,186240969.7
3.66E+00,5.59E+00,230808950.5
3.66E+00,5.59E+00,230808950.5
3.67E+00,5.64E+00,322601967.6
3.67E+00,5.69E+00,418313355.8
3.67E+00,5.69E+00,418313355.8
3.67E+00,5.69E+00,432198001.5
